case#town#prot#claimants#defendant#judge#subject#district#stage#scraperID
RE Nº 9330157-80.2008.6.09.0034 - Recurso Eleitoral UF: GOTRE#AMERICANO DO BRASIL-GON.° Origem: 13386/2008#2899352008 - 05/07/2008 19:31#MILTON CAMPOS##JUÍZA ELIZABETH MARIA DA SILVA#"RECURSO ELEITORAL INTERPOSTO POR MILTON CAMPOS EM FACE DA SENTENCA EM FLS. 36/40 EXARADA PELO JUIZO DA 34 ZONA ELEITORAL, SEDIADA EM ANICUNS, NO PROCESSO DE REQUERIMENTO DE REGISTRO DE CANDIDATURA 13386 OFERTADO PELA COLIGACAO ""UNIDOS PARA O BEM DE AMERICANO"" - PMDB/PT/PR PARA O RECORRENTE AO CARGO DE VEREADOR DE AMERICANO DO BRASIL, NA QUAL SEU PEDIDO DE REGISTRO DE CANDIDATURA FOI INDEFERIDO, COM FULCRO NO ART. 1º, I, ""G"", DA LC Nº 64/90, POIS O TRIBUNAL DE CONTAS DOS MUNICIPIOS DO ESTADO DE GOIAS JULGOU IRREGULARES AS CONTAS REFERENTES AO EXERCICIO 2006 DO FMS - AMERICANO DO BRASIL, A EPOCA, SOB ADMINISTRACAO DO RECORRENTE. REQUER A REFORMA DA DECISAO, A FIM DE QUE SEJA DEFERIDO O REGISTRO DE CANDIDATURA DO RECORRENTE. (RRCAND)"#034ZGO-034ª Zona Eleitoral#30/11/2010 03:58-Arquivado na seção#3348
Nº 0000101-21.2016.6.26.0171 - REGISTRO DE CANDIDATURA UF: SP171ª ZONA ELEITORAL#MONTE AZUL PAULISTA-SPN.° Origem:#2230872016 - 14/08/2016 12:13#COLIGAÇÃO REALIZAÇÕES E PROGRESSO (PSDB / PMDB / DEM / PV / PPS / PSD / PDT / PTB / PRB / PEN)#PAULO SERGIO DAVID, CARGO PREFEITO, Nº: 45#AYMAN RAMADAN#DIREITO ELEITORAL - Eleições - Candidatos - Registro de Candidatura - Cargos - Registro de Candidatura - RRC - Candidato - Cargo - Prefeito#ZE-171-171ª ZONA ELEITORAL - MONTE AZUL PAULISTA#07/02/2017 16:24-Arquivado na seção#11666
Nº 0000184-53.2016.6.10.0051 - REGISTRO DE CANDIDATURA UF: MA51ª ZONA ELEITORAL#SÃO BERNARDO-MAN.° Origem:#552862016 - 12/08/2016 00:00#COLIGAÇÃO SAO BERNARDO DE TODOS (PMDB / PSL / REDE / PMN / PHS / PMB / PSDC) COLIGAÇÃO MAJORITÁRIA PRA FRENTE SÃO BERNARDO#JOAO IGOR VIEIRA CARVALHO, CARGO PREFEITO, Nº: 15 JOÃO IGOR VIEIRA DE CARVALHO#ISAAC DIEGO VIEIRA DE SOUSA E SILVA#IMPUGNAÇÃO AO REGISTRO DE CANDIDATURA - DIREITO ELEITORAL - Eleições - Candidatos - Registro de Candidatura - Registro de Candidatura - RRC - Candidato - Cargos - Cargo - Prefeito#ZE051-51ª ZONA ELEITORAL#26/10/2016 11:45-Arquivado na seção#9745
Nº 0000042-84.2016.6.05.0149 - REGISTRO DE CANDIDATURA UF: BA149ª ZONA ELEITORAL#ITIÚBA-BAN.° Origem:#899312016 - 12/08/2016 14:40#COLIGAÇÃO JUNTOS SOMOS MAIS FORTE (PSD / PPS / PMB / PRTB / DEM)#BARTOLOMEU RAMOS SILVA, CARGO VEREADOR, Nº: 28999#RAFAELE CURVELO GUEDES DOS ANJOS#DIREITO ELEITORAL - Eleições - Candidatos - Registro de Candidatura - Cargos - Cargo - Vereador#ZE-149-149a. ZONA ELEITORAL/BA#10/03/2017 10:11-Arquivado na seção#8857
RE Nº 0000162-83.2016.6.20.0061 - RECURSO ELEITORAL UF: RN61ª ZONA ELEITORAL#MONTANHAS-RNN.° Origem:#454662016 - 15/08/2016 00:00#JOSELIO CORDEIRO DA SILVA#COLIGAÇÃO COMPROMISSO, TRABALHO E RECONSTRUÇÃO ( PRB / PDT / PT / PMDB / PR / PSDC / PROS )#JUIZ ALMIRO JOSÉ DA ROCHA LEMOS#RECURSO ELEITORAL - DIREITO ELEITORAL - Eleições - Candidatos - Registro de Candidatura - Registro de Candidatura - RRC - Candidato - Impugnação ao Registro de Candidatura - Inelegibilidade - Desincompatibilização - Cargos - Cargo - Vereador - Eleições - Eleição Proporcional#12ª ZE-12ª ZONA ELEITORAL - NOVA CRUZ#28/11/2017 13:34-Arquivado na seção#10974
RE Nº 0000106-47.2016.6.21.0053 - Recurso Eleitoral UF: RS53ª ZONA ELEITORAL#PASSA SETE-RSN.° Origem:#668872016 - 10/08/2016 12:05#PARTIDO TRABALHISTA BRASILEIRO - PTB DE PASSA SETE#BERTINO RECH#DESEMBARGADOR ELEITORAL DR. SILVIO RONALDO SANTOS DE MORAES#RECURSO ELEITORAL - REGISTRO DE CANDIDATURA - RRC - CANDIDATO - CARGO - PREFEITO - IMPUGNAÇÃO AO REGISTRO DE CANDIDATURA - INELEGEBILIDADE - REJEIÇÃO DE CONTAS PÚBLICAS - DEFERIDO#053ZRS-053 ZE - SOBRADINHO/RS#24/10/2016 12:27-Arquivado na seção CAIXA 191#11236
Nº 0000208-34.2016.6.09.0011 - REGISTRO DE CANDIDATURA UF: GO11ª ZONA ELEITORAL#FORMOSA-GON.° Origem:#613252016 - 05/08/2016 15:14#COLIGAÇÃO UNIDOS POR FORMOSA (PDT / PSC / PEN)#VIVIANE PEZZINI ALMEIDA, CARGO VEREADOR, Nº: 20111#ROZEMBERG VILELA DA FONSECA#DIREITO ELEITORAL - Eleições - Candidatos - Registro de Candidatura - Cargos - Registro de Candidatura - RRC - Candidato - Cargo - Vereador#011ZGO-011ª Zona Eleitoral#09/10/2016 14:54-Arquivado na seção#9315
Nº 0000166-66.2012.6.26.0038 - REGISTRO DE CANDIDATURA UF: SP38ª ZONA ELEITORAL#CAPIVARI-SPN.° Origem:#2072662012 - 05/07/2012 18:57#Coligação JUNTOS POR CAPIVARI (PPS / PSDB)#DAVILSON APARECIDO ROGGIERI, CARGO VEREADOR, NÚMERO 45555#ALESSANDRA REGINA RAMOS RODRIGUES BISOGNIN#REGISTRO DE CANDIDATURA - RRC - CANDIDATO - CARGO - VEREADOR#ZE-038-38ª ZONA ELEITORAL - CAPIVARI#23/10/2014 13:49-Arquivado na seção#8154
Nº 0000084-71.2016.6.14.0024 - REGISTRO DE CANDIDATURA UF: PA24ª ZONA ELEITORAL#CONCEIÇÃO DO ARAGUAIA-PAN.° Origem:#511792016 - 12/08/2016 16:00#COLIGAÇÃO UNIDOS POR CONCEIÇÃO (PT / PSB / SD)#PAULO SERGIO RODRIGUES CARNEIRO, CPF 586.240.402-30 - CARGO VEREADOR, Nº: 13180#FREDSON CAPELINE#DIREITO ELEITORAL - Eleições - Candidatos - Registro de Candidatura - Cargos - Registro de Candidatura - RRC - Candidato - Cargo - Vereador#24-24ª ZONA ELEITORAL#24/09/2016 17:36-Arquivado na seção#10077
Nº 0000273-02.2012.6.05.0166 - REGISTRO DE CANDIDATURA UF: BA166ª ZONA ELEITORAL#BUERAREMA-BAN.° Origem:#769712012 - 06/07/2012 10:02#Coligação POR UMA BUERAREMA FELIZ E SOLIDÁRIA (PRB / PRTB / PHS / PRP / PSD)#ORLANDO DE OLIVEIRA FILHO, CARGO PREFEITO, NÚMERO 28#ANTÔNIO CARLOS DE SOUZA HYGINO#REGISTRO DE CANDIDATURA - RRC - CANDIDATO - CARGO - PREFEITO#ZE-166-166a. ZONA ELEITORAL/BA#27/09/2017 11:23-Arquivado na seção#5766
Nº 0000113-39.2012.6.15.0023 - REGISTRO DE CANDIDATURA UF: PB23ª ZONA ELEITORAL#Cubati-PBN.° Origem:#312962012 - 05/07/2012 00:00#Coligação CUBATI PARA TODOS (PP / PSC / PR / PRTB / PSB / PV / PSD)#MALBA TÂNIA PEREIRA DE QUEIROZ, CARGO VEREADOR, NÚMERO 40123#JAILSON SHIZUE SUASSUNA#REGISTRO DE CANDIDATURA - RRC - CANDIDATO - CARGO - VEREADOR#23ª_Zona-23ª Zona Eleitoral - Soledade/PB#22/01/2013 13:33-Arquivado na seção#6849
